episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
188,1,stage_1_small_easy,6,6,0.1093,1,778,-479,144,0,0.0,0.8285367691502946,0.15561924623842868
189,1,stage_1_small_easy,6,6,0.1043,1,644,-456,144,0,0.0,0.8277082323811443,0.1842724873891307
190,1,stage_1_small_easy,6,6,0.1046,1,539,-460,144,0,0.0,0.8268805241487632,0.11061431794789517
191,1,stage_1_small_easy,6,6,0.0982,1,981,-478,144,0,0.0,0.8260536436246144,0.113987650269539
192,1,stage_1_small_easy,6,6,0.1064,1,828,-529,144,0,0.0,0.8252275899809898,0.09244816044035058
193,1,stage_1_small_easy,6,6,0.1082,1,265,-472,144,0,0.0,0.8244023623910088,0.11830638742281331
194,1,stage_1_small_easy,6,6,0.1081,1,804,-447,144,0,0.0,0.8235779600286178,0.15076046404687482
195,1,stage_1_small_easy,6,6,0.1178,1,39,-355,144,0,0.0,0.8227543820685892,0.12401216112387677
196,1,stage_1_small_easy,6,6,0.0937,1,684,-409,144,0,0.0,0.8219316276865206,0.12314380713117619
197,1,stage_1_small_easy,6,6,0.0938,1,312,-497,144,0,0.0,0.8211096960588341,0.18606691648407528
198,1,stage_1_small_easy,6,6,0.1029,1,749,-447,144,0,0.0,0.8202885863627752,0.13208139824887943
199,1,stage_1_small_easy,6,6,0.0809,1,25,-451,144,0,0.0,0.8194682977764125,0.13035362696326855
200,1,stage_1_small_easy,6,6,0.0805,1,68,-438,144,0,0.0,0.818648829478636,0.08716514543630183
