episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
247,0,Classic Escape Room,195,36,1,0.4761064915572429,0,1,3,1,-47.13,0.7
248,1,Alternative Maze Room,98,69,1,0.4746781720825711,0,1,3,1,-43.14,0.71
249,0,Classic Escape Room,52,90,1,0.4732541375663234,0,1,3,1,-41.02,0.71
250,1,Alternative Maze Room,171,50,1,0.4718343751536244,0,1,3,1,-40.19,0.71
251,1,Alternative Maze Room,156,61,1,0.47041887202816357,0,1,3,1,-35.22,0.72
252,1,Alternative Maze Room,218,39,1,0.4690076154120791,0,1,3,1,-29.4,0.73
253,1,Alternative Maze Room,167,49,1,0.46760059256584285,0,1,3,1,-23.75,0.74
254,0,Classic Escape Room,140,57,1,0.4661977907881453,0,1,3,1,-19.01,0.75
255,2,Advanced Puzzle Room,127,49,1,0.4647991974157809,0,1,3,1,-13.5,0.76
256,0,Classic Escape Room,204,38,1,0.46340479982353355,0,1,3,1,-7.37,0.77
257,0,Classic Escape Room,145,56,1,0.46201458542406293,0,1,3,1,-5.24,0.77
258,2,Advanced Puzzle Room,120,55,1,0.4606285416677907,0,1,3,1,-4.35,0.77
259,1,Alternative Maze Room,141,65,1,0.45924665604278736,0,1,3,1,-3.6,0.77
260,2,Advanced Puzzle Room,118,65,1,0.457868916074659,0,1,3,1,-3.85,0.77
261,2,Advanced Puzzle Room,100,65,1,0.45649530932643506,0,1,3,1,-3.4,0.77
262,2,Advanced Puzzle Room,72,68,1,0.45512582339845575,0,1,3,1,0.8,0.78
263,1,Alternative Maze Room,213,43,1,0.45376044592826037,0,1,3,1,7.23,0.79
264,0,Classic Escape Room,196,36,1,0.4523991645904756,0,1,3,1,12.49,0.8
265,0,Classic Escape Room,188,44,1,0.45104196709670413,0,1,3,1,18.18,0.81
266,0,Classic Escape Room,179,47,1,0.449688841195414,0,1,3,1,23.87,0.82
267,0,Classic Escape Room,188,34,1,0.4483397746718278,0,1,3,1,29.46,0.83
268,1,Alternative Maze Room,170,52,1,0.4469947553478123,0,1,3,1,34.9,0.84
269,2,Advanced Puzzle Room,156,39,1,0.44565377108176885,0,1,3,1,36.05,0.84
270,2,Advanced Puzzle Room,86,52,1,0.44431680976852356,0,1,3,1,40.29,0.85
271,0,Classic Escape Room,239,27,1,0.44298385933921797,0,1,3,1,42.34,0.85
272,2,Advanced Puzzle Room,155,61,1,0.4416549077612003,0,1,3,1,44.05,0.85
273,1,Alternative Maze Room,204,38,1,0.4403299430379167,0,1,3,1,47.36,0.85
274,2,Advanced Puzzle Room,27,99,1,0.43900895320880295,0,1,3,1,51.22,0.86
275,0,Classic Escape Room,209,37,1,0.43769192634917653,0,1,3,1,56.9,0.87
276,0,Classic Escape Room,189,37,1,0.436378850570129,0,1,3,1,58.46,0.87
277,0,Classic Escape Room,217,31,1,0.4350697140184186,0,1,3,1,60.82,0.87
278,1,Alternative Maze Room,149,54,1,0.43376450487636337,0,1,3,1,61.46,0.87
279,1,Alternative Maze Room,141,52,1,0.43246321136173427,0,1,3,1,62.75,0.87
280,1,Alternative Maze Room,148,54,1,0.43116582172764906,0,1,3,1,65.59,0.87
281,1,Alternative Maze Room,199,41,1,0.42987232426246613,0,1,3,1,66.34,0.87
282,0,Classic Escape Room,190,37,1,0.42858270728967873,0,1,3,1,67.07,0.87
283,0,Classic Escape Room,175,46,1,0.4272969591678097,0,1,3,1,73.22,0.88
284,1,Alternative Maze Room,133,63,1,0.4260150682903063,0,1,3,1,79.37,0.89
